epoch,step,train_loss,train_foreign_loss,train_home_loss,train_acc,val_loss,val_foreign_loss,val_home_loss,val_acc,sav_version
0,459,1.0671655342210091,0.023729805921839472,0.02359205962834405,0.6955354711328972,1.0871302708983421,0.0199816826886187,0.019869101078559954,0.6975162760416667,1
1,918,0.9506585022722713,0.01577194211172642,0.015912874120902393,0.7128999863834427,1.0339051311214764,0.014971280470490456,0.014934280576805273,0.7037141927083335,2
2,1377,0.9157157055952451,0.012125461950719616,0.01232606453175833,0.7185998774509799,1.0088476662834485,0.012308549019508064,0.012293462757952511,0.7070670572916667,3
3,1836,0.8968895236131672,0.010211509506345964,0.010343720533830278,0.7212312772331151,0.9942548498511314,0.01077201267859588,0.010797685439077517,0.7094173177083333,4
4,2295,0.8825835331073254,0.008989571167606543,0.009123657732666319,0.7240817333877998,0.9823799878358841,0.009682512104821702,0.009739706991240382,0.7113671874999999,5
5,2754,0.8718809341293534,0.00819735852331897,0.008281730600350692,0.7263979098583878,0.9729074711600939,0.00892582155453662,0.008995220453167955,0.7129720052083334,6
6,3213,0.8646534776116248,0.007566518938546282,0.007663809538114824,0.727567231753813,0.9648346056540807,0.008344641789638748,0.008352459621770928,0.7152994791666667,7
7,3672,0.8564001421782965,0.00708993638242739,0.007162155824954863,0.7293600217864923,0.9604322214921316,0.007837246618388841,0.007894941586224983,0.7167903645833333,8
8,4131,0.8500163103240768,0.00672970242364117,0.006782601300367278,0.7307412513616552,0.955333910882473,0.007495489961002022,0.007479388538437585,0.7166861979166664,9
9,4590,0.8460795361232134,0.006396437598461354,0.006428021473976457,0.7314077818627448,0.9509582817554474,0.007279422890860587,0.007175922238578399,0.7175748697916666,10
10,5049,0.8390407428502517,0.0061408387484893304,0.006155393851316313,0.7329886642156861,0.9480425541599592,0.006907942452623199,0.006913278930975745,0.7184765624999999,11
11,5508,0.8359605303776809,0.005920534258533862,0.0059207418724521186,0.7334579248366019,0.9434063682953516,0.006737830718824019,0.006653694106110682,0.7204915364583332,12
12,5967,0.8311444223576382,0.005722400318417285,0.005709938641053205,0.7350023828976031,0.9407169843713442,0.006537893942246835,0.006442221890514095,0.7204654947916667,13
13,6426,0.8284320323555557,0.0055533560187695855,0.005530104467194844,0.7352716503267978,0.9384505699078242,0.006334859412163496,0.00629238832819586,0.7211035156249999,14
14,6885,0.825352239972366,0.005391652454380636,0.005360950476414887,0.7358670343137256,0.935064934194088,0.006089021354758491,0.0061033488988565905,0.7220377604166668,15
15,7344,0.8220753258090133,0.0052343575057648695,0.0052244747250314505,0.7368312568082782,0.934618798394998,0.005972394525694351,0.005931257580717404,0.7216145833333334,16
16,7803,0.8194473835118196,0.005118637852987563,0.005101687405745383,0.7376513139978206,0.9330115169286728,0.005885707486110429,0.005799451920514305,0.7222819010416667,17
17,8262,0.8169619882548297,0.005016125479920043,0.0049742681921859455,0.7380056849128533,0.9311960612734159,0.005841059862480809,0.0057122726187420385,0.7228483072916667,18
18,8721,0.814512408247181,0.004889803637257393,0.0048566684380482094,0.7377393110021786,0.9289940024415652,0.0056235062462898595,0.005590672022663057,0.7237044270833333,19
19,9180,0.8122875886545202,0.0048127413203854575,0.004772630142766276,0.7388094022331152,0.9273249407609304,0.005585996337079753,0.005466525481703381,0.7238932291666665,20
20,9639,0.8092958597316202,0.004724443115066729,0.00467803737266326,0.7394589120370374,0.9257537523905436,0.005421086971182376,0.0053761373468053835,0.7239811197916666,21
21,10098,0.8075860334897094,0.0046411901671837095,0.004587601996097949,0.7399094498910678,0.9244965265194575,0.005389415193349123,0.005329376668669283,0.7243131510416667,22
22,10557,0.8063291091804671,0.004584997172075809,0.004523428999017397,0.7404112200435727,0.9230516205231348,0.005288398223153005,0.005213782734548052,0.7248014322916667,23
23,11016,0.8042046019973838,0.004504549751273298,0.004446293517017904,0.7407538466775596,0.9222998668750128,0.00524168888417383,0.005136374015516291,0.7248014322916668,24
24,11475,0.8019933561613877,0.004436106791350512,0.004384053905529005,0.7415012254901967,0.9221822743614515,0.0052034878366005914,0.005082718504127115,0.7255338541666664,25
25,11934,0.8009113472011874,0.004368083822908192,0.004312588098765328,0.7413899101307185,0.918905551234881,0.005121279003409048,0.004987194261047989,0.7258658854166667,26
26,12393,0.7988529396212958,0.004315753581513669,0.004258833412174338,0.7422773692810447,0.9190111582477888,0.00498433531417201,0.00493709040650477,0.7263216145833332,26
27,12852,0.7968442366014119,0.004259650307364584,0.0042028010717323275,0.742394812091503,0.9171950245896975,0.005018508100571732,0.004894254069464902,0.7261718749999999,27
28,13311,0.7953972967102118,0.004212380084564224,0.004156504873356788,0.7425299564270147,0.9169296224912008,0.00493665476096794,0.0048416520973357064,0.7260123697916666,28
29,13770,0.7937792266895568,0.004169100065652711,0.004105904954231967,0.7431627859477122,0.9161990135908127,0.004873737828650822,0.0047753569087944925,0.7262988281249999,29
30,14229,0.7928672080985342,0.004120508572066401,0.0040568505096287835,0.743460477941177,0.9151836136976877,0.004823281371500343,0.004717683788233747,0.726923828125,30
31,14688,0.7911780983014823,0.00408029977246421,0.004012482951969428,0.743625408496732,0.9149689475695292,0.004855195487228532,0.004668043441294382,0.7270052083333334,31
32,15147,0.7902112927831596,0.0040373056969749445,0.003968859598657405,0.7439093137254906,0.9136605734626452,0.004747939975156139,0.004637387814000249,0.7273177083333334,32
33,15606,0.7894300810651842,0.004006720753183714,0.003933277061769094,0.7439210580065362,0.9127072393894196,0.004657544021029025,0.004569893625254433,0.7269921875,33
34,16065,0.7875306898472356,0.003958614328003657,0.003892024605147427,0.7445043572984752,0.9117791404326757,0.004697570751886815,0.004542021139059216,0.7275911458333334,34
35,16524,0.7861508182970267,0.003923180103220841,0.0038571965191837943,0.7451742919389972,0.9122731809814771,0.004648689859701942,0.004512455333800365,0.7281087239583335,34
36,16983,0.7851142610599792,0.003887145095230902,0.003816518936638998,0.7450090209694986,0.9117451384663582,0.004601912378954391,0.004465505791207154,0.7281119791666666,35
37,17442,0.7846058959015574,0.0038535911371740707,0.0037804854377365645,0.7450966775599126,0.9114478578170141,0.0045621973113156855,0.004425446056605627,0.7281640625,36
38,17901,0.7832484415413767,0.0038276765879024476,0.003755398568938728,0.7453349673202606,0.9101836929718653,0.00452358906234925,0.004390650108689442,0.7280794270833332,37
39,18360,0.7818446138585575,0.00379066011606673,0.003715167789413616,0.7462132352941171,0.9105594654877981,0.004545782886755963,0.004376016140061741,0.7283821614583332,37
40,18819,0.7803232869811048,0.0037689662704848905,0.0036971034189941837,0.7461526416122004,0.909664531548818,0.00441709653629611,0.004321051354054362,0.7280371093749999,38
41,19278,0.7804052634956011,0.003740520492979287,0.003666985563909501,0.7462445533769058,0.9088650395472845,0.004432509051791082,0.004288855590857565,0.728193359375,39
42,19737,0.7792223565978422,0.0037067195731326774,0.003637595796624852,0.7467197712418301,0.9083575755357742,0.004363238142104819,0.004267084451081852,0.7291601562499999,40
43,20196,0.7779774537273482,0.003687165284423819,0.0036180718245962737,0.7467003676470583,0.9079382543762525,0.004351385267606626,0.004234173761991163,0.7287760416666668,41
44,20655,0.7777396397652969,0.0036715448561098125,0.003587751117715519,0.7467468341503275,0.9080043186744055,0.004378390614874661,0.004220695923625802,0.7288346354166665,41
45,21114,0.7756031775007061,0.0036286049003029053,0.0035569116712622913,0.7473190699891061,0.9066065748532613,0.004297521819050114,0.004189665720332414,0.7293847656249998,42
