epoch,step,train_loss,train_foreign_loss,train_home_loss,train_acc,val_loss,val_foreign_loss,val_home_loss,val_acc,sav_version
0,459,1.0297984995094,0.017504246310941662,0.015105510609374586,0.6987932325708054,1.0259153818090756,0.013012194152300557,0.01129731621282796,0.7078450520833331,1
1,918,0.8758077801962044,0.009843463180606986,0.008444786873242304,0.722705099400873,0.9612844213843346,0.010057443209613362,0.008629743223233769,0.7154036458333333,2
2,1377,0.8381688854533343,0.00805164192963497,0.0069394012596579934,0.7292851307189543,0.9297620952129364,0.008585314538019398,0.007425096875522286,0.7199641927083332,3
3,1836,0.8171279278455996,0.007109249635621873,0.006129899290481619,0.7339404616013064,0.9115318556626638,0.007729933267304053,0.006706657528411597,0.7238281249999999,4
4,2295,0.8014667234129895,0.006515338555311131,0.005595588692401034,0.7377922453703701,0.9007169778148333,0.007215136002438764,0.006201185363655289,0.7254361979166667,5
5,2754,0.790846591941152,0.00605953841070464,0.005202599915763067,0.7400337009803926,0.8890541469057401,0.006775926565751433,0.005778812919743359,0.7285709635416667,6
6,3213,0.7812642060333866,0.005709012969313819,0.004882176832776833,0.742024611928104,0.8805007537206014,0.00629940303042531,0.005503738376622398,0.7297298177083333,7
7,3672,0.773650941765646,0.005430594004471512,0.004635856205329689,0.7440497344771244,0.875505564113458,0.0061738648801110685,0.005274444605068614,0.7310677083333333,8
8,4131,0.7679062225979657,0.005194763006735796,0.0044484991465607955,0.7452468001089332,0.868426650762558,0.00595375590880091,0.005053673715641101,0.732490234375,9
9,4590,0.76196587786955,0.005017002998832979,0.004279145568179084,0.7471502246732019,0.8664153491457304,0.00574909383431077,0.004865190984370808,0.7333235677083333,10
10,5049,0.7576391612522483,0.004837239262585027,0.00412095240154963,0.7480038126361656,0.8604588160912195,0.005564642449220021,0.004718696252287676,0.7344466145833336,11
11,5508,0.751903473032326,0.0046972327334055585,0.00399626504674489,0.7496677559912851,0.8567884316047033,0.0053449095382044716,0.004604534207222362,0.7343522135416665,12
12,5967,0.7490547865564268,0.00457211349145276,0.003892356762155274,0.7501768450435735,0.8538214340806007,0.005338083098952969,0.004504931363044307,0.7354752604166666,13
13,6426,0.7441121198253174,0.00446343582127576,0.0038032961566983226,0.7513133169934638,0.853051133453846,0.005204639222938567,0.004407236536887164,0.7353222656249999,14
14,6885,0.7416641143412371,0.004370446288491516,0.003716011588463726,0.752136608115468,0.8483745902776718,0.0050888504677762585,0.0043248135965162264,0.7362174479166667,15
15,7344,0.7383987467273389,0.004276301563678873,0.00363456729793422,0.7529226239106757,0.8465918153524399,0.004911928457052757,0.00424105681789418,0.7363151041666666,16
16,7803,0.7354640742532568,0.004200993543024092,0.0035753132504551042,0.7540386710239655,0.8457462986310323,0.004890645485526572,0.0041741116147022694,0.7365104166666668,17
17,8262,0.7324144563643761,0.004118162519268058,0.0035094012250648995,0.7543356821895426,0.8433816855152448,0.004830132568410288,0.004112164703352998,0.73736328125,18
18,8721,0.7306983752058482,0.0040669775642008235,0.003455770452058426,0.7552176947167756,0.8399379725257555,0.004698533836441736,0.004031370549152295,0.7381738281249999,19
19,9180,0.7275521425380167,0.003977073364625309,0.0034029594656031312,0.7555279820261441,0.8383007099231085,0.004640644358005375,0.003978368001601969,0.7386653645833335,20
20,9639,0.7260253360588307,0.003930860633245611,0.003362120722150653,0.7559347766884535,0.83798981209596,0.0046018699746734155,0.003948509955080226,0.7392643229166665,21
21,10098,0.7237399452911742,0.0038886104541991013,0.0033153415893961338,0.756458503540305,0.8366775115331014,0.004595314967446029,0.00390927210294952,0.7391276041666667,22
22,10557,0.7217559753420046,0.0038247380597407326,0.0032768063607355805,0.7568707448257084,0.8346425021688143,0.004462799406610429,0.003857484747034808,0.7399739583333335,23
23,11016,0.7187627924034019,0.0037895713132361764,0.003240495895832972,0.7581527437363835,0.8347527186075846,0.004434021248016506,0.003830030628402407,0.7394303385416667,23
24,11475,0.7176456482581843,0.003755822927895974,0.0032052794493702373,0.7585888139978217,0.8322780504822731,0.004437830444658175,0.0037860694671204933,0.7400227864583333,24
25,11934,0.715854343635584,0.003711310462328181,0.00317337251651813,0.7589675245098036,0.8318275660276413,0.0043706896346217645,0.0037598899798467755,0.7409049479166666,25
26,12393,0.71439065548849,0.0036785625502637593,0.0031438675244422,0.7594109136710243,0.8323122610648473,0.004268792651904126,0.003724394793001314,0.7402441406250001,25
27,12852,0.7128754589942026,0.0036460485675601463,0.003118130958219077,0.759595418028322,0.8292317688465118,0.004266068727398912,0.0036842750657039383,0.740927734375,26
28,13311,0.7105227878930003,0.0036143721111751848,0.003094619727431754,0.7601513139978208,0.829350009560585,0.004250264086294919,0.003668945263295124,0.7411393229166666,26
29,13770,0.7094043916606695,0.003582698909853928,0.0030681550556546267,0.7603647535403054,0.8287667483091354,0.0042878825042862445,0.0036385952262207866,0.7418164062500002,27
