epoch,step,train_loss,train_acc,val_loss,val_acc,sav_version
0,459,0.9995351723336446,0.698661832788672,1.005262201031049,0.7077897135416666,1
1,918,0.8585970992616059,0.7227204180283222,0.9436608379085859,0.7157161458333333,2
2,1377,0.823300344102523,0.729153390522876,0.9162337481975555,0.7203157552083335,3
3,1836,0.8043774739070136,0.734021309912854,0.9000901232163111,0.7227148437499998,4
4,2295,0.7907153914696771,0.7374218749999993,0.8874903743465742,0.7259049479166667,5
5,2754,0.780074046977465,0.7397659654139429,0.8767847617467245,0.7284049479166668,6
6,3213,0.7714417979348459,0.7417003676470588,0.8708245803912481,0.7300065104166666,7
7,3672,0.7646874503632257,0.7434963916121997,0.8645240490635236,0.7309374999999999,8
8,4131,0.7575934870830029,0.7458484817538121,0.8590253343184789,0.7316666666666665,9
9,4590,0.7522761175055909,0.747350047657952,0.8561013415455818,0.7328710937499999,10
10,5049,0.7469484460639538,0.7487273624727664,0.852422354122003,0.7331575520833334,11
11,5508,0.7426559945856563,0.7497914964596951,0.849765787521998,0.7343912760416668,12
12,5967,0.738583565018016,0.7507565699891072,0.8459295431772867,0.7350911458333332,13
13,6426,0.7362555088820281,0.7512802968409582,0.8435147603352865,0.7353613281250001,14
14,6885,0.7325260154821774,0.7523587282135079,0.8419411232074102,0.7363248697916668,15
15,7344,0.7294612143813655,0.7534213303376912,0.8415255968769392,0.7358072916666667,16
16,7803,0.7268630675241059,0.7542321963507626,0.8380976219971975,0.7365755208333334,17
17,8262,0.724528459811782,0.754675755718954,0.8358801727493604,0.73732421875,18
18,8721,0.722993580604171,0.7549033224400878,0.8330631653467814,0.7374739583333333,19
19,9180,0.7200360631890806,0.7557046568627456,0.8332364509503046,0.7382259114583335,19
20,9639,0.717650815292641,0.7560641339869283,0.8309873789548874,0.7391634114583335,20
21,10098,0.7152155101429144,0.7574438316993468,0.8296584958831469,0.7387434895833332,21
22,10557,0.7137575696885975,0.7574921704793026,0.8291394164164861,0.7387207031250002,22
23,11016,0.7113016124384596,0.7580303649237469,0.8272822002569834,0.7398535156249998,23
24,11475,0.7097036115873873,0.75850847630719,0.8271855985124906,0.739609375,24
25,11934,0.7095692285655111,0.7587574891067538,0.8251604363322258,0.7401041666666667,25
26,12393,0.7065406140418873,0.7595063997821343,0.8247827564676603,0.7397721354166666,26
27,12852,0.7052691419789474,0.7596989038671024,0.8241868416468302,0.7404296874999998,27
28,13311,0.7043038764420677,0.7595998434095861,0.8219360858201981,0.7416601562499999,28
29,13770,0.7022474582158922,0.760911458333333,0.8222221930821737,0.7405045572916668,28
30,14229,0.7012956747562018,0.7612823393246185,0.8221992428104082,0.740869140625,28
31,14688,0.7009597204479516,0.7607943559368192,0.8219688708583514,0.740849609375,28
32,15147,0.6983901944685086,0.7614566312636176,0.8199145421385765,0.7413867187500002,29
33,15606,0.6970773190584577,0.7620983115468407,0.8187929143508276,0.7415983072916666,30
34,16065,0.6960218474106591,0.7624535334967317,0.8185101499160131,0.7413118489583335,31
35,16524,0.6952672230651955,0.7629049223856216,0.817877896130085,0.7416569010416668,32
36,16983,0.6943967398864771,0.76291802832244,0.8169367710749308,0.7420475260416667,33
37,17442,0.6917479808294176,0.7636660879629628,0.8154192343354225,0.7425813802083332,34
38,17901,0.6913038262354783,0.7636642156862745,0.8153653641541799,0.741875,35
39,18360,0.6915134510962792,0.7638340822440083,0.8163561423619589,0.7423502604166666,35
