epoch,train_loss,val_loss,sav_version
0,3.525162684399149,3.392196853955587,1
1,3.3728943721107814,3.3386915723482766,2
2,3.329211820726809,3.303664724032084,3
3,3.294706234724625,3.2756781379381814,4
4,3.2658200543859732,3.244176924228668,5
5,3.2395521293515745,3.2193522254625955,6
6,3.2116155235663704,3.1922186811765036,7
7,3.1856368697207906,3.169296662012736,8
8,3.1592101884924846,3.1424758235613504,9
9,3.1340717948001364,3.1173710227012634,10
10,3.106875913039498,3.0997920433680215,11
11,3.0796276730039844,3.064617176850637,12
12,3.051611273703368,3.0393191377321878,13
13,3.0280922174453737,3.0107761224110923,14
14,3.000588618154111,2.9890612959861755,15
15,2.971835358246513,2.9589515924453735,16
16,2.943874162176381,2.9334027767181396,17
17,2.9153266352155933,2.9024561444918313,18
18,2.8870477780051855,2.8779679934183755,19
19,2.8556253319201264,2.8455729683240256,20
20,2.8269409552864406,2.817319413026174,21
21,2.798284225878508,2.787617007891337,22
22,2.768232082284015,2.761588970820109,23
23,2.737437169448189,2.7265448768933616,24
24,2.703076844630034,2.697923799355825,25
25,2.6719362766846366,2.6641053557395935,26
26,2.6390535012535428,2.6336366534233093,27
27,2.6056458250336023,2.601818402608236,28
28,2.5715009694514066,2.567917843659719,29
29,2.5384892645089523,2.53494002421697,30
30,2.502973567402881,2.499291698137919,31
31,2.468798764373945,2.467525760332743,32
32,2.4333274903504747,2.4316954016685486,33
33,2.3965401343677355,2.393099586168925,34
34,2.3603465686673704,2.3572676181793213,35
35,2.3206985458083773,2.3244550625483194,36
36,2.2857510250547657,2.2883178989092507,37
37,2.2459632101266283,2.24873548746109,38
38,2.207068242715753,2.2223171393076577,39
39,2.169046055752298,2.173244754473368,40
40,2.1304591204809107,2.1347641150156655,41
41,2.0885155739991563,2.10001806418101,42
42,2.049789367551389,2.066150486469269,43
43,2.0100538103476815,2.0260560611883798,44
44,1.9719669653021772,1.9825409452120464,45
45,1.9302963282751,1.945596267779668,46
46,1.8873437411111333,1.9064110815525055,47
47,1.8508678368900133,1.8714145123958588,48
48,1.809151405096054,1.8313950300216675,49
49,1.765528175882671,1.7982730865478516,50
50,1.7261975692666096,1.7462523579597473,51
51,1.6826824952726778,1.7097431321938832,52
52,1.6433409806178965,1.6832332611083984,53
53,1.595852415976317,1.629483938217163,54
54,1.559692936617395,1.5929620166619618,55
55,1.517629162384116,1.5551593800385792,56
56,1.4742698876754097,1.5184585849444072,57
57,1.4312238850023435,1.47173868616422,58
58,1.3944771421992261,1.4376752376556396,59
59,1.3519494527060052,1.3915535012880962,60
60,1.308476308895194,1.3608167270819347,61
61,1.2715446421633596,1.3167157769203186,62
62,1.2261952924987545,1.2791935205459595,63
63,1.1896507600079411,1.2441006203492482,64
64,1.1470661013022714,1.2122941116491954,65
65,1.1103645061669143,1.173287312189738,66
66,1.0672367960214615,1.1329780369997025,67
67,1.0361520644115365,1.1068604389826457,68
68,0.9932809058738792,1.071616957585017,69
69,0.9562528035562972,1.0255961070458095,70
70,0.9177892497376255,0.9923704216877619,71
71,0.887153841101605,0.9677716394265493,72
72,0.851445263883342,0.9308781375487646,73
73,0.8196942334589751,0.9013107568025589,74
74,0.7834507120692211,0.8717918395996094,75
75,0.7539707296568414,0.8371874739726385,76
76,0.7224924263098965,0.8160504450400671,77
77,0.6961124494671822,0.7838504811127981,78
78,0.6645680439860925,0.7620168675978979,79
79,0.638828586301078,0.7443053474028906,80
80,0.614068053079688,0.7122745315233866,81
81,0.5852666998686997,0.685023715098699,82
82,0.5616181622056857,0.6670115739107132,83
83,0.5362713353465433,0.6352758804957072,84
84,0.5166684777192447,0.6170902053515116,85
85,0.4907350322150666,0.601002981265386,86
86,0.473109222786582,0.5873701622088751,87
87,0.45055773118915765,0.5632059896985689,88
88,0.4353896455272384,0.5486009642481804,89
89,0.4160874958919442,0.5294447392225266,90
90,0.3962516280377041,0.5073255995909373,91
91,0.37715281231895736,0.49039951463540393,92
92,0.36416103919239146,0.4786258712410927,93
