epoch,train_loss,val_loss,sav_version
0,3.182870758644636,2.932353446880976,1
1,2.8805339567541814,2.8272036612033844,2
2,2.8127834521607378,2.7840457955996194,3
3,2.7789835405245844,2.758246531089147,4
4,2.7548476958846213,2.7399630745251975,5
5,2.7386440007515205,2.7264501253763833,6
6,2.725831755625656,2.7140638132890067,7
7,2.7155507608176834,2.704496184984843,8
8,2.7034290631612143,2.695855329434077,9
9,2.6955894655132084,2.688930332660675,10
10,2.689147772612395,2.680638154347738,11
11,2.6816082665603407,2.674052596092224,12
12,2.6741671531029,2.668082465728124,13
13,2.6668250488040233,2.661972383658091,14
14,2.6613718305018472,2.6569044391314187,15
15,2.6563786585086833,2.651762694120407,16
16,2.6499858175227846,2.6455665628115335,17
17,2.6455051987259477,2.640054623285929,18
18,2.6395553960779394,2.635109315315882,19
19,2.633389177924927,2.6303051511446633,20
20,2.6287095785660424,2.625461479028066,21
21,2.6234717841761306,2.6204319298267365,22
22,2.619312996957816,2.615924914677938,23
23,2.614074314861256,2.611578772465388,24
24,2.609904988398999,2.607119639714559,25
25,2.60457489199628,2.602276235818863,26
26,2.6000318662273596,2.598119835058848,27
27,2.5963411068864377,2.593700557947159,28
28,2.5910578792131544,2.589210251967112,29
29,2.584982547884673,2.5838504334290824,30
30,2.582095720669283,2.5807730158170066,31
31,2.5774828795514075,2.5759259462356567,32
32,2.5723822264889487,2.570702781279882,33
33,2.5688020648000545,2.566429078578949,34
34,2.5634309217041613,2.561827133099238,35
35,2.5591121696438925,2.5578861633936563,36
36,2.5546042781509866,2.554003824790319,37
37,2.5493750702062203,2.550145377715429,38
38,2.544740068107389,2.5450995763142905,39
39,2.539833869809419,2.5401838521162667,40
40,2.536336180431391,2.5359717508157096,41
41,2.531265797957875,2.5326947073141732,42
42,2.5278483800638734,2.5271824498971305,43
43,2.52308076451287,2.5230552355448403,44
44,2.517704113376426,2.5183744728565216,45
45,2.515781516862591,2.514535794655482,46
46,2.507971481040672,2.5098396241664886,47
47,2.5028637385316403,2.5055663883686066,48
48,2.500058323729272,2.5014463663101196,49
49,2.493896178430462,2.4966719150543213,50
50,2.490680652246496,2.4929791192213693,51
51,2.4833638236933027,2.4875376423199973,52
52,2.4822745271238107,2.483166436354319,53
53,2.4768992701387096,2.4788131614526114,54
54,2.4715908033395904,2.474163075288137,55
55,2.4682597760800964,2.4700590074062347,56
56,2.4606965367310965,2.46633310119311,57
57,2.4596593517623435,2.460965951283773,58
58,2.452818886127347,2.456769049167633,59
59,2.447784433697304,2.451973249514898,60
60,2.4446289414673847,2.447357008854548,61
61,2.439689973860265,2.443114956219991,62
62,2.434614786135605,2.438519457976023,63
63,2.4283346807774895,2.4337609906991324,64
64,2.42610958354925,2.4289322892824807,65
65,2.4205218639249115,2.425105889638265,66
66,2.4153949243051036,2.4205783903598785,67
67,2.4117071833745585,2.416489839553833,68
68,2.405843336857482,2.4119001775979996,69
69,2.400153831718794,2.406872351964315,70
70,2.3952125619958946,2.4013656874497733,71
71,2.389687105980834,2.397221108277639,72
72,2.387640873591105,2.3922240833441415,73
73,2.379780819992614,2.3881446570158005,74
74,2.3776124840468364,2.3834597369035087,75
75,2.3727109936068,2.378522902727127,76
76,2.3660030858449166,2.374859427412351,77
77,2.360771466963691,2.369378556807836,78
78,2.358548184106033,2.364297812183698,79
79,2.350962050340274,2.359939227501551,80
80,2.345501031491232,2.354382793108622,81
81,2.341864314733767,2.3496974309285483,82
82,2.337952018043834,2.3454848329226174,83
83,2.330850938306655,2.3406272530555725,84
84,2.325753179250979,2.335414265592893,85
85,2.323427723643567,2.3304722011089325,86
86,2.3173416427018076,2.3263854881127677,87
87,2.3121516065659864,2.3208457032839456,88
88,2.307689929060427,2.3161659141381583,89
89,2.3017451373580236,2.3118400424718857,90
90,2.2964038080119877,2.306793431440989,91
91,2.2925305644411407,2.30235747496287,92
92,2.2865530416077258,2.296163782477379,93
93,2.281924224627044,2.2917402336994805,94
94,2.2763366081096508,2.2866938759883246,95
95,2.2696548456200327,2.282453159491221,96
96,2.2657715510698706,2.2774312794208527,97
97,2.259691527726084,2.2717239757378898,98
98,2.258024972508416,2.2669337888558707,99
99,2.25095484147664,2.2627838850021362,100
